,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2000-01-04,6000.0,6110.0,5660.0,6110.0,4375.40185546875,74195000,,
2000-01-05,5800.0,6060.0,5520.0,5580.0,3995.864501953125,74680000,,
2000-01-06,5750.0,5780.0,5580.0,5620.0,4024.508544921875,54390000,4131.924967447917,
2000-01-07,5560.0,5670.0,5360.0,5540.0,3967.22119140625,40305000,3995.86474609375,
2000-01-10,5600.0,5770.0,5580.0,5770.0,4131.92626953125,46880000,4041.2186686197915,4098.98447265625
2000-01-11,5820.0,6100.0,5770.0,5770.0,4131.92626953125,59745000,4077.0245768229165,4050.28935546875
2000-01-12,5610.0,5740.0,5600.0,5720.0,4096.11865234375,29220000,4119.990397135417,4070.340185546875
2000-01-13,5600.0,5740.0,5560.0,5710.0,4088.958740234375,41190000,4105.667887369792,4083.230224609375
2000-01-14,5720.0,5880.0,5680.0,5830.0,4174.89208984375,49375000,4119.989827473958,4124.764404296875
2000-01-17,6000.0,6180.0,5920.0,6100.0,4368.2412109375,63505000,4210.697347005208,4172.027392578125
2000-01-18,6160.0,6160.0,5980.0,6100.0,4368.2412109375,45260000,4303.79150390625,4219.290380859375
2000-01-19,6000.0,6040.0,5960.0,5960.0,4267.98583984375,40205000,4334.82275390625,4253.663818359375
2000-01-20,5860.0,6040.0,5820.0,6040.0,4325.2724609375,37315000,4320.499837239583,4300.9265625
2000-01-21,5950.0,5980.0,5880.0,5880.0,4210.6962890625,32535000,4267.98486328125,4308.08740234375
2000-01-24,5800.0,5900.0,5700.0,5700.0,4081.7978515625,34355000,4205.922200520833,4250.79873046875
2000-01-25,5520.0,5640.0,5440.0,5440.0,3895.609375,44250000,4062.701171875,4156.27236328125
2000-01-26,5500.0,5520.0,5410.0,5480.0,3924.253662109375,29285000,3967.2202962239585,4087.525927734375
2000-01-27,5480.0,5620.0,5430.0,5520.0,3952.89892578125,27900000,3924.2539876302085,4013.051220703125
2000-01-28,5640.0,5880.0,5540.0,5820.0,4167.7294921875,38315000,4014.960693359375,4004.457861328125
2000-01-31,5640.0,5730.0,5560.0,5580.0,3995.864501953125,39630000,4038.8309733072915,3987.27119140625
2000-02-01,5600.0,5680.0,5260.0,5320.0,3809.676025390625,71470000,3991.0900065104165,3970.084521484375
2000-02-02,5220.0,5370.0,5110.0,5250.0,3759.550537109375,64105000,3855.0303548177085,3937.143896484375
2000-02-03,5250.0,5460.0,4970.0,5130.0,3673.6171875,142765000,3747.6145833333335,3881.287548828125
2000-02-04,5130.0,5130.0,5130.0,5130.0,3673.6171875,0,3702.2616373697915,3782.465087890625
2000-02-07,5140.0,5330.0,5040.0,5240.0,3752.390380859375,64140000,3699.8749186197915,3733.770263671875
2000-02-08,5340.0,5480.0,5310.0,5430.0,3888.449462890625,58460000,3771.4856770833335,3749.524951171875
2000-02-09,5560.0,5720.0,5480.0,5720.0,4096.11865234375,51050000,3912.3194986979165,3816.83857421875
2000-02-10,5660.0,5880.0,5600.0,5760.0,4124.76220703125,61845000,4036.4434407552085,3907.067578125
2000-02-11,5960.0,5960.0,5680.0,5700.0,4081.7978515625,34660000,4100.892903645833,3988.7037109375
2000-02-14,5600.0,5660.0,5340.0,5380.0,3852.64453125,44140000,4019.73486328125,4008.754541015625
2000-02-15,5380.0,5420.0,5140.0,5200.0,3723.744873046875,38315000,3886.0624186197915,3975.813623046875
2000-02-16,5180.0,5200.0,4780.0,5000.0,3580.524169921875,73115000,3718.97119140625,3872.6947265625
2000-02-17,4940.0,5100.0,4910.0,5080.0,3637.81201171875,65185000,3647.3603515625,3775.3046875
2000-02-18,5370.0,5630.0,5160.0,5300.0,3795.35546875,108750000,3671.2305501302085,3718.0162109375
2000-02-21,5200.0,5260.0,5030.0,5070.0,3630.65087890625,26485000,3687.939453125,3673.61748046875
2000-02-22,5000.0,5240.0,5000.0,5120.0,3666.45703125,24180000,3697.48779296875,3662.159912109375
2000-02-23,5220.0,5260.0,5100.0,5140.0,3680.779052734375,27720000,3659.295654296875,3682.210888671875
2000-02-24,5120.0,5240.0,5060.0,5070.0,3630.65087890625,26075000,3659.295654296875,3680.778662109375
2000-02-25,5080.0,5150.0,4980.0,5120.0,3666.45703125,27875000,3659.295654296875,3654.998974609375
2000-02-28,5000.0,5050.0,4800.0,4800.0,3437.303466796875,30140000,3578.1371256510415,3616.3294921875
2000-02-29,4900.0,5140.0,4840.0,5120.0,3666.45703125,51820000,3590.072509765625,3616.3294921875
2000-03-01,5120.0,5120.0,5120.0,5120.0,3666.45703125,0,3590.072509765625,3613.465087890625
2000-03-02,5880.0,5880.0,5520.0,5880.0,4210.6962890625,117750000,3847.8701171875,3729.474169921875
2000-03-03,6200.0,6250.0,5880.0,6000.0,4296.62890625,140990000,4057.9274088541665,3855.508544921875
2000-03-06,6000.0,6050.0,5600.0,5640.0,4038.832275390625,39150000,4182.052490234375,3975.814306640625
2000-03-07,5600.0,5640.0,5480.0,5620.0,4024.508544921875,30070000,4119.989908854167,4047.424609375
2000-03-08,5520.0,6000.0,5500.0,5920.0,4239.34130859375,32460000,4100.89404296875,4162.00146484375
2000-03-09,5970.0,5980.0,5620.0,5620.0,4024.508544921875,55890000,4096.119466145833,4124.763916015625
2000-03-10,5790.0,5800.0,5520.0,5540.0,3967.22119140625,28605000,4077.023681640625,4058.882373046875
2000-03-13,5480.0,5490.0,5160.0,5180.0,3709.423095703125,32215000,3900.38427734375,3993.000537109375
2000-03-14,5170.0,5380.0,5160.0,5210.0,3730.906494140625,30060000,3802.5169270833335,3934.280126953125
2000-03-15,5200.0,5400.0,5120.0,5400.0,3866.96484375,46105000,3769.09814453125,3859.804833984375
