,Open,High,Low,Close,Adj Close,Volume,MA3,MA5
2000-01-04,6000.0,6110.0,5660.0,6110.0,4375.39892578125,74195000,,
2000-01-05,5800.0,6060.0,5520.0,5580.0,3995.864990234375,74680000,,
2000-01-06,5750.0,5780.0,5580.0,5620.0,4024.50830078125,54390000,5770.0,
2000-01-07,5560.0,5670.0,5360.0,5540.0,3967.220947265625,40305000,5580.0,
2000-01-10,5600.0,5770.0,5580.0,5770.0,4131.92529296875,46880000,5643.333333333333,5724.0
2000-01-11,5820.0,6100.0,5770.0,5770.0,4131.92529296875,59745000,5693.333333333333,5656.0
2000-01-12,5610.0,5740.0,5600.0,5720.0,4096.1181640625,29220000,5753.333333333333,5684.0
2000-01-13,5600.0,5740.0,5560.0,5710.0,4088.95947265625,41190000,5733.333333333333,5702.0
2000-01-14,5720.0,5880.0,5680.0,5830.0,4174.890625,49375000,5753.333333333333,5760.0
2000-01-17,6000.0,6180.0,5920.0,6100.0,4368.23779296875,63505000,5880.0,5826.0
2000-01-18,6160.0,6160.0,5980.0,6100.0,4368.23779296875,45260000,6010.0,5892.0
2000-01-19,6000.0,6040.0,5960.0,5960.0,4267.984375,40205000,6053.333333333333,5940.0
2000-01-20,5860.0,6040.0,5820.0,6040.0,4325.27392578125,37315000,6033.333333333333,6006.0
2000-01-21,5950.0,5980.0,5880.0,5880.0,4210.69580078125,32535000,5960.0,6016.0
2000-01-24,5800.0,5900.0,5700.0,5700.0,4081.797119140625,34355000,5873.333333333333,5936.0
2000-01-25,5520.0,5640.0,5440.0,5440.0,3895.609130859375,44250000,5673.333333333333,5804.0
2000-01-26,5500.0,5520.0,5410.0,5480.0,3924.25537109375,29285000,5540.0,5708.0
2000-01-27,5480.0,5620.0,5430.0,5520.0,3952.896728515625,27900000,5480.0,5604.0
2000-01-28,5640.0,5880.0,5540.0,5820.0,4167.73046875,38315000,5606.666666666667,5592.0
2000-01-31,5640.0,5730.0,5560.0,5580.0,3995.864990234375,39630000,5640.0,5568.0
2000-02-01,5600.0,5680.0,5260.0,5320.0,3809.67724609375,71470000,5573.333333333333,5544.0
2000-02-02,5220.0,5370.0,5110.0,5250.0,3759.551513671875,64105000,5383.333333333333,5498.0
2000-02-03,5250.0,5460.0,4970.0,5130.0,3673.6171875,142765000,5233.333333333333,5420.0
2000-02-04,5130.0,5130.0,5130.0,5130.0,3673.6171875,0,5170.0,5282.0
2000-02-07,5140.0,5330.0,5040.0,5240.0,3752.390380859375,64140000,5166.666666666667,5214.0
2000-02-08,5340.0,5480.0,5310.0,5430.0,3888.44775390625,58460000,5266.666666666667,5236.0
2000-02-09,5560.0,5720.0,5480.0,5720.0,4096.1181640625,51050000,5463.333333333333,5330.0
2000-02-10,5660.0,5880.0,5600.0,5760.0,4124.763671875,61845000,5636.666666666667,5456.0
2000-02-11,5960.0,5960.0,5680.0,5700.0,4081.797119140625,34660000,5726.666666666667,5570.0
2000-02-14,5600.0,5660.0,5340.0,5380.0,3852.64404296875,44140000,5613.333333333333,5598.0
2000-02-15,5380.0,5420.0,5140.0,5200.0,3723.746826171875,38315000,5426.666666666667,5552.0
2000-02-16,5180.0,5200.0,4780.0,5000.0,3580.5244140625,73115000,5193.333333333333,5408.0
2000-02-17,4940.0,5100.0,4910.0,5080.0,3637.812255859375,65185000,5093.333333333333,5272.0
